Ldim_ID,Zebra_Prot_ID,Gene_Name,Identity,Length,Mism,Gap,qs,qe,ss,se,Evalue,Bitscore
g21927,lcl|NC_133189.1_prot_NP_694495.1_52722,fmr1,74.2,608,114,9,1,604,1,569,7.17e-293,809.0
g21632,lcl|NC_133189.1_prot_NP_001070642.1_52512,fut11,74.2,488,110,2,11,495,3,477,6.01e-285,781.0
g7733,lcl|NC_133195.1_prot_XP_021330110.2_73375,si:ch211-203k16.3,74.2,419,108,0,16,434,7,425,1.2299999999999999e-244,674.0
g21152,lcl|NC_133189.1_prot_NP_956250.1_52979,g3bp1,74.2,497,105,9,1,494,1,477,3.97e-234,652.0
g9964,lcl|NC_133184.1_prot_XP_073768180.1_37049,cyp27a3,74.2,396,101,1,124,519,1,395,1.84e-221,618.0
g17167,lcl|NC_133197.1_prot_NP_001070120.2_80469,ncl,74.2,466,94,6,239,696,258,705,2.54e-193,565.0
g9812,lcl|NC_133184.1_prot_XP_073768148.1_38436,col18a1a,74.2,1269,265,16,108,1342,1,1241,1.9700000000000003e-157,508.0
g13722,lcl|NC_133187.1_prot_XP_073775021.1_48116,LOC101886286,74.2,356,63,5,70,413,1236,1574,8.41e-156,480.0
g2438,lcl|NC_133180.1_prot_NP_571949.1_18703,xbp1,74.2,267,62,3,1,264,1,263,4.31e-120,345.0
g10921,lcl|NC_133176.1_prot_NP_001002361.2_94,mettl21e,74.2,217,56,0,19,235,13,229,1.06e-115,332.0
g2257,lcl|NC_133190.1_prot_NP_001028921.1_57427,sagb,74.2,155,40,0,63,217,1,155,1.04e-81,251.0
g15904,lcl|NC_133181.1_prot_NP_001076477.1_24487,pik3r6a,74.2,194,43,4,1,189,1,192,4.47e-84,248.0
g20449,lcl|NC_133188.1_prot_NP_001004530.1_50201,fuom,74.2,151,38,1,1,151,1,150,3.43e-75,223.0
g533,lcl|NC_133198.1_prot_XP_005161946.1_80710,kcnk15,74.2,132,34,0,1,132,111,242,4.57e-58,190.0
g19501,lcl|NC_133191.1_prot_NP_001233129.1_58436,atg12,74.2,120,28,1,1,117,1,120,2.54e-58,177.0
g12236,lcl|NC_133200.1_prot_NP_001003481.1_88763,tmem60,74.2,132,34,0,1,132,3,134,2.9e-55,171.0
g1380,lcl|NC_133177.1_prot_NP_001340840.1_5870,selenop2,74.2,89,23,0,1,89,92,180,9.95e-47,155.0
g1257,lcl|NC_133179.1_prot_XP_017210805.2_14497,LOC101884898,74.2,97,25,0,1,97,381,477,1.62e-45,154.0
g13049,lcl|NC_133178.1_prot_NP_001290058.1_11348,atp5mf,74.2,89,23,0,1,89,1,89,1.77e-49,152.0
g19427,lcl|NC_133190.1_prot_NP_001070239.2_56749,seraf,74.2,66,17,0,10,75,13,78,2.35e-31,115.0
g14225,lcl|NC_133187.1_prot_XP_021335953.2_46457,lrp2b,74.1,4557,1164,11,5,4555,5,4551,0.0,4690.0
g21388,lcl|NC_133189.1_prot_XP_009306033.1_52325,atg2a,74.1,2058,463,19,1,2023,1,2022,0.0,2898.0
g17666,lcl|NC_133181.1_prot_XP_001923340.2_24835,tmem131,74.1,1804,416,20,25,1796,14,1797,0.0,2432.0
g11534,lcl|NC_133182.1_prot_XP_068078466.1_30356,ttc17,74.1,1150,243,14,74,1206,1,1112,0.0,1639.0
g2850,lcl|NC_133180.1_prot_XP_073808033.1_18333,egflam,74.1,1043,265,2,23,1065,58,1095,0.0,1628.0
g95580,lcl|NC_133176.1_prot_XP_073810265.1_2802,mcf2la,74.1,1112,262,6,25,1135,40,1126,0.0,1586.0
g8546,lcl|NC_133180.1_prot_NP_001418060.1_20477,myo1ca,74.1,1029,265,2,17,1043,1,1029,0.0,1509.0
g10326,lcl|NC_133199.1_prot_NP_001005393.1_85282,boc,74.1,985,237,13,1,980,1,972,0.0,1417.0
g8372,lcl|NC_133180.1_prot_XP_009299950.1_20376,slc8a2a,74.1,902,212,8,28,925,14,897,0.0,1300.0
g8581,lcl|NC_133180.1_prot_NP_001122020.1_20537,slc12a9,74.1,907,223,6,1,903,1,899,0.0,1289.0
g11104,lcl|NC_133182.1_prot_NP_001038571.1_27630,furina,74.1,810,193,8,14,812,3,806,0.0,1164.0
g9725,lcl|NC_133181.1_prot_XP_009300538.1_23829,mylkb,74.1,811,195,6,908,1706,150,957,0.0,1161.0
g21436,lcl|NC_133183.1_prot_NP_955875.2_32655,pola2,74.1,606,148,6,1,603,1,600,0.0,887.0
g4310,lcl|NC_133190.1_prot_NP_001035402.1_55852,bco2b,74.1,555,144,0,1,555,1,555,7.38e-317,867.0
g5060,lcl|NC_133194.1_prot_NP_001038350.1_69709,klhl38a,74.1,583,151,0,1,583,1,583,1.83e-312,858.0
g7390,lcl|NC_133195.1_prot_XP_073788966.1_71250,si:dkey-174m14.3,74.1,640,142,11,1,633,10,632,2.53e-309,855.0
g5894,lcl|NC_133192.1_prot_XP_699295.3_63930,mboat2a,74.1,514,118,4,1,511,1,502,3.85e-280,770.0
g22898,lcl|NC_133198.1_prot_XP_073795497.1_83615,tmco4,74.1,595,127,9,88,665,1,585,1.8e-263,739.0
g16775,lcl|NC_133176.1_prot_NP_571936.1_3113,jag1a,74.1,1229,279,13,13,1227,17,1220,3.58e-244,733.0
g1820,lcl|NC_133177.1_prot_NP_001001951.1_5206,ubxn7,74.1,532,109,8,13,542,1,505,8.82e-255,707.0
g22782,lcl|NC_133198.1_prot_NP_001073433.1_82046,zgc:154075,74.1,421,109,0,1,421,1,421,8.38e-240,662.0
g68,lcl|NC_133197.1_prot_XP_005174020.1_78897,pxk,74.1,444,110,1,6,449,15,453,3.52e-235,660.0
g18489,lcl|NC_133200.1_prot_NP_955988.1_87500,snupn,74.1,374,86,3,1,373,1,364,7.36e-202,561.0
g15007,lcl|NC_133196.1_prot_XP_073791073.1_77474,frmd7,74.1,355,91,1,22,375,18,372,1.57e-186,538.0
g11924,lcl|NC_133179.1_prot_XP_005164731.1_13619,tmem121b,74.1,382,88,4,23,394,15,395,1.05e-190,535.0
g10521,lcl|NC_133199.1_prot_NP_001157460.2_85924,prmt6,74.1,340,88,0,3,342,10,349,2.39e-184,515.0
g3287,lcl|NC_133185.1_prot_XP_073771244.1_42017,aak1b,74.1,344,86,2,30,370,35,378,4.04e-164,512.0
g16269,lcl|NC_133176.1_prot_XP_005170948.2_1607,arfip1,74.1,379,81,6,134,501,108,480,1.47e-178,511.0
g2436,lcl|NC_133180.1_prot_NP_001004541.1_18706,coq5,74.1,328,84,1,1,328,1,327,1.14e-170,478.0
g6241,lcl|NC_133192.1_prot_NP_001002117.1_64144,rbks,74.1,309,80,0,4,312,3,311,2.6900000000000003e-161,453.0
g11388,lcl|NC_133193.1_prot_XP_073784793.1_66286,gnrhr4,74.1,305,78,1,64,367,52,356,8.03e-156,446.0
g14425,lcl|NC_133182.1_prot_NP_998482.1_28276,rbm4.3,74.1,352,72,12,1,345,1,340,9e-155,439.0
g3853,lcl|NC_133190.1_prot_XP_002664563.2_54637,p2ry13,74.1,294,72,2,1,293,40,330,7.94e-154,435.0
g13847,lcl|NC_133176.1_prot_XP_001337988.1_3222,si:dkey-121b10.7,74.1,259,67,0,65,323,103,361,3.5200000000000004e-148,422.0
g7542,lcl|NC_133195.1_prot_NP_955906.1_73291,gja13.1,74.1,286,72,2,1,285,1,285,1.06e-147,417.0
g3691,lcl|NC_133190.1_prot_XP_700455.3_55916,oafa,74.1,274,68,2,1,273,1,272,5.38e-144,406.0
g4598,lcl|NC_133194.1_prot_NP_998367.1_68071,gnb3b,74.1,336,87,0,7,342,3,338,8.71e-134,386.0
g699,lcl|NC_133186.1_prot_XP_068080363.1_42741,si:dkey-33m11.7,74.1,239,62,0,24,262,28,266,5.03e-134,381.0
g8883,lcl|NC_133196.1_prot_NP_001002718.2_77130,ubtd2,74.1,270,40,2,1,270,5,244,5.65e-134,380.0
g14025,lcl|NC_133187.1_prot_NP_001070063.1_46668,josd1,74.1,263,39,5,1,262,1,235,1.42e-132,375.0
g5216,lcl|NC_133191.1_prot_NP_001032189.2_58915,zgc:123238,74.1,247,64,0,7,253,5,251,2.27e-128,365.0
g7537,lcl|NC_133195.1_prot_NP_001107083.1_70903,arv1,74.1,239,61,1,1,239,1,238,2.57e-121,346.0
g4591,lcl|NC_133194.1_prot_XP_073787194.1_68203,psmb13a,74.1,205,53,0,70,274,1,205,4.120000000000001e-110,318.0
g5675,lcl|NC_133188.1_prot_NP_957330.1_50853,vti1b,74.1,228,55,2,1,227,1,225,4.960000000000002e-103,299.0
g3161,lcl|NC_133180.1_prot_NP_998204.1_19458,zfand5a,74.1,216,45,5,1,208,1,213,6.37e-103,297.0
g21864,lcl|NC_133180.1_prot_NP_571850.1_19503,dhfr,74.1,189,48,1,1,188,1,189,4.53e-102,293.0
g3537,lcl|NC_133192.1_prot_XP_073783912.1_64034,LOC141378433,74.1,170,44,0,1,170,1832,2001,6.15e-86,277.0
g17340,lcl|NC_133197.1_prot_XP_009294586.2_79746,hdgfl2,74.1,599,141,7,1,593,1,591,5.34e-80,268.0
g18094,lcl|NC_133200.1_prot_NP_001002362.2_88282,ppfibp2b,74.1,201,48,2,67,264,1,200,4.18e-80,263.0
g16829,lcl|NC_133181.1_prot_NP_001002531.1_25259,rgs8,74.1,174,45,0,1,174,1,174,6.339999999999999e-90,261.0
g3794,lcl|NC_133190.1_prot_NP_001073442.1_54696,taf15,74.1,197,30,3,212,387,204,400,2.47e-80,256.0
g8449,lcl|NC_133196.1_prot_NP_001019577.1_76474,prdx5,74.1,162,42,0,29,190,1,162,3.08e-87,255.0
g18273,lcl|NC_133193.1_prot_NP_001073632.1_65986,snapc5,74.1,81,20,1,1,81,1,80,8.57e-29,102.0
g7854,lcl|NC_133195.1_prot_NP_001373309.1_73868,ndufb1,74.1,58,15,0,1,58,1,58,2.74e-28,97.1
g13404,lcl|NC_133187.1_prot_NP_997872.2_47634,nherf1a,74.1,54,14,0,36,89,156,209,1.97e-23,94.4
g2242,lcl|NC_133177.1_prot_XP_009297012.2_6969,si:dkey-7l6.3,74.1,54,14,0,6,59,6,59,5.35e-15,77.0
g8287,lcl|NC_133180.1_prot_XP_009299854.1_19938,zzef1,74.0,3091,710,15,1,3050,1,3038,0.0,4210.0
g1307,lcl|NC_133177.1_prot_NP_001334600.1_6781,chd8,74.0,2653,527,49,1,2587,1,2555,0.0,3313.0
g12466,lcl|NC_133178.1_prot_XP_073800738.1_10766,cacna1aa,74.0,2503,455,39,1,2483,1,2326,0.0,3176.0
g109914,lcl|NC_133182.1_prot_XP_021333537.2_29116,tjp1a,74.0,1644,309,30,9,1621,85,1641,0.0,2146.0
g9860,lcl|NC_133184.1_prot_XP_021334623.2_37164,hecw2a,74.0,1532,310,25,22,1522,1,1475,0.0,2088.0
g6633,lcl|NC_133185.1_prot_XP_005155631.1_40153,tjp2a,74.0,1256,274,17,1,1234,1,1225,0.0,1534.0
g3227,lcl|NC_133183.1_prot_XP_073767209.1_34877,adgrd1,74.0,881,218,4,9,878,9,889,0.0,1282.0
g3867,lcl|NC_133193.1_prot_NP_001103761.1_66569,olfcj1,74.0,795,203,1,1235,2029,19,809,0.0,1212.0
g21499,lcl|NC_133176.1_prot_XP_068077689.1_2572,ctnnd1,74.0,840,173,18,79,890,1,823,0.0,1174.0
g21545,lcl|NC_133189.1_prot_XP_001332508.1_54103,scyl1,74.0,885,181,14,1,866,1,855,0.0,1107.0
g19048,lcl|NC_133191.1_prot_XP_073781884.1_57925,bbs9,74.0,701,182,0,1,701,1,701,0.0,1057.0
g3623,lcl|NC_133190.1_prot_NP_956909.2_57455,lrfn1,74.0,769,163,13,1,759,1,742,0.0,975.0
g2050,lcl|NC_133177.1_prot_NP_001410622.1_7065,pard3ab,74.0,669,133,9,1,666,1,631,0.0,936.0
g13857,lcl|NC_133199.1_prot_XP_003201409.4_86564,tbc1d24,74.0,562,144,2,5,566,45,604,2.51e-314,863.0
g14200,lcl|NC_133187.1_prot_XP_009305037.2_47394,ccdc186,74.0,769,190,4,236,1004,192,950,3.97e-289,831.0
g4011,lcl|NC_133190.1_prot_XP_073779704.1_55698,plekhg2,74.0,565,106,5,1,565,1,524,2.26e-263,790.0
g7967,lcl|NC_133195.1_prot_XP_073788432.1_74217,pak5,74.0,566,112,11,216,767,1,545,1.43e-250,707.0
g19859,lcl|NC_133191.1_prot_XP_021322406.1_60926,hpn,74.0,408,102,3,24,428,3,409,8.86e-236,651.0
g9376,lcl|NC_133184.1_prot_NP_956032.1_35933,scrn3,74.0,416,107,1,1,416,1,415,9.02e-234,645.0
g15460,lcl|NC_133176.1_prot_NP_571678.1_163,runx1,74.0,484,92,15,1,483,1,451,2.4599999999999997e-228,636.0
g3387,lcl|NC_133183.1_prot_NP_739570.1_34634,hnf1a,74.0,457,112,4,1,453,107,560,5.02e-218,613.0
g8428,lcl|NC_133180.1_prot_NP_997781.1_21965,zgc:85789,74.0,319,83,0,1,319,1,319,2.56e-179,499.0
g12042,lcl|NC_133179.1_prot_NP_001038563.1_12672,gas2l3,74.0,315,74,3,1,315,2,308,2.31e-167,494.0
g16570,lcl|NC_133186.1_prot_XP_073772220.1_43261,krt94,74.0,392,100,2,6,397,15,404,5.14e-174,494.0
g9175,lcl|NC_133184.1_prot_XP_691948.4_36158,tmem198aa,74.0,381,81,2,9,388,19,382,1.57e-164,468.0
g2938,lcl|NC_133180.1_prot_NP_957268.1_22360,unga,74.0,300,69,3,1,300,1,291,5.78e-162,454.0
g5360,lcl|NC_133188.1_prot_XP_009305845.1_51477,khdrbs1a,74.0,208,43,4,4,200,14,221,7.02e-97,291.0
g12670,lcl|NC_133178.1_prot_XP_068073192.1_11511,cdip1,74.0,215,41,6,1,203,1,212,1.52e-97,283.0
g10677,lcl|NC_133182.1_prot_NP_571710.1_31059,fgf4,74.0,192,45,2,29,216,1,191,8.26e-96,279.0
g21294,lcl|NC_133176.1_prot_XP_005160041.1_2298,asb5b,74.0,265,69,0,68,332,41,305,3.73e-92,278.0
g22973,lcl|NC_133198.1_prot_NP_957097.1_81856,cox4i2,74.0,150,36,1,1,147,28,177,1.63e-81,239.0
g9478,lcl|NC_133184.1_prot_XP_073768553.1_36095,nalf1b,74.0,150,37,1,243,392,47,194,4.71e-76,236.0
g377,lcl|NC_133186.1_prot_NP_001006030.1_45198,mrps16,74.0,131,32,1,1,131,1,129,1.97e-67,201.0
g16930,lcl|NC_133197.1_prot_XP_073792596.1_79266,lrrc39,74.0,173,37,2,168,336,1,169,2.91e-18,83.2
g109919,lcl|NC_133182.1_prot_XP_073764695.1_29110,tjp1a,73.9,1654,313,31,9,1631,85,1650,0.0,2147.0
g109912,lcl|NC_133182.1_prot_XP_073764694.1_29098,tjp1a,73.9,1654,313,31,9,1630,85,1651,0.0,2147.0
g18310,lcl|NC_133200.1_prot_XP_073798371.1_89486,trpm1b,73.9,1465,309,15,115,1569,1,1402,0.0,2001.0
g22007,lcl|NC_133198.1_prot_XP_073794153.1_81572,sulf2b,73.9,866,171,13,1,835,6,847,0.0,1278.0
g120,lcl|NC_133181.1_prot_XP_073810893.1_26731,r3hdm2,73.9,1075,208,22,1,1050,1,1027,0.0,1250.0
g3297,lcl|NC_133180.1_prot_XP_021331649.2_20667,prkg2,73.9,779,189,5,1,775,1,769,0.0,1137.0
g1599,lcl|NC_133177.1_prot_NP_998255.2_4864,scinlb,73.9,720,188,0,1,720,1,720,0.0,1124.0
g9490,lcl|NC_133184.1_prot_XP_005167506.1_36244,sik1,73.9,824,167,8,1,800,1,800,0.0,1124.0
g17718,lcl|NC_133181.1_prot_NP_970614.2_25316,jade3,73.9,805,183,11,1,788,1,795,0.0,1111.0
g21933,lcl|NC_133189.1_prot_NP_001136056.1_52390,il1rapl2,73.9,687,141,6,1,687,1,649,0.0,1019.0
g14840,lcl|NC_133182.1_prot_NP_001098747.1_27351,sf3b2,73.9,852,160,17,23,851,13,825,0.0,1002.0
g11422,lcl|NC_133182.1_prot_XP_009301687.1_30209,dpy19l3,73.9,667,168,3,62,727,75,736,0.0,990.0
g17638,lcl|NC_133198.1_prot_NP_878297.1_80759,slc34a2b,73.9,641,155,5,2,639,11,642,2.08e-312,863.0
g5866,lcl|NC_133192.1_prot_NP_001122270.1_63684,tpp1,73.9,547,140,2,13,557,10,555,2.84e-306,841.0
g15851,lcl|NC_133176.1_prot_NP_001275745.1_2592,unc93b1,73.9,544,140,2,12,555,12,553,4.9399999999999994e-270,754.0
g5581,lcl|NC_133192.1_prot_NP_001018326.1_64370,ezra,73.9,595,147,1,1,587,1,595,1.09e-265,741.0
g6406,lcl|NC_133180.1_prot_XP_021332175.1_19967,pip5kl1,73.9,452,104,4,1,440,8,457,7.57e-239,661.0
g9408,lcl|NC_133184.1_prot_NP_001073663.2_37447,hs6st3b,73.9,437,94,3,2,436,1,419,1.53e-237,656.0
g23471,lcl|NC_133177.1_prot_XP_068079463.1_6203,amph,73.9,394,92,5,1,385,1,392,4.2400000000000003e-184,558.0
g6855,lcl|NC_133196.1_prot_NP_001186944.1_74538,tor1,73.9,326,82,2,11,336,13,335,5.25e-183,510.0
g8945,lcl|NC_133185.1_prot_XP_005172631.1_39208,kcnj15,73.9,329,82,2,10,338,6,330,3.63e-172,483.0
g16404,lcl|NC_133181.1_prot_XP_005172122.3_22826,uts2r4,73.9,326,83,2,33,356,11,336,2.68e-170,479.0
g13792,lcl|NC_133187.1_prot_XP_073774139.1_45636,slc39a11,73.9,341,78,3,1,332,1,339,4.07e-156,442.0
g658,lcl|NC_133189.1_prot_NP_001019596.1_51797,stx18,73.9,326,69,3,1,322,1,314,1.78e-153,434.0
g22838,lcl|NC_133198.1_prot_NP_001119881.1_83286,plpbp,73.9,295,64,3,1,294,1,283,3.82e-152,428.0
g1184,lcl|NC_133181.1_prot_NP_001082920.1_26466,or90a1,73.9,291,76,0,1,291,9,299,3e-149,423.0
g10087,lcl|NC_133199.1_prot_XP_073796091.1_84243,inhbaa,73.9,257,49,4,197,452,1,240,8.449999999999999e-128,371.0
g3929,lcl|NC_133190.1_prot_NP_001071038.1_55194,scn4ba,73.9,218,57,0,16,233,15,232,1.87e-115,331.0
g16348,lcl|NC_133176.1_prot_XP_009294483.1_4052,soul5l,73.9,203,53,0,9,211,11,213,4.48e-111,324.0
g9097,lcl|NC_133196.1_prot_NP_001159730.2_76172,ccdc90b,73.9,222,58,0,18,239,32,253,2.65e-105,306.0
g8456,lcl|NC_133180.1_prot_NP_963870.1_20426,tagln2,73.9,199,52,0,1,199,1,199,5.58e-106,304.0
g12425,lcl|NC_133178.1_prot_NP_001074155.1_9138,tmem205,73.9,188,49,0,1,188,1,188,4.45e-106,303.0
g3805,lcl|NC_133188.1_prot_NP_571793.2_50806,six4a,73.9,199,51,1,44,242,78,275,2.51e-87,293.0
g16697,lcl|NC_133178.1_prot_NP_956996.1_11595,atp5pd,73.9,161,42,0,1,161,1,161,2.22e-86,251.0
g21473,lcl|NC_133188.1_prot_XP_073775314.1_50647,pax2a,73.9,142,37,0,1,142,1,142,1.71e-69,222.0
g22926,lcl|NC_133198.1_prot_NP_001025247.1_82378,szrd1,73.9,157,40,1,2,157,4,160,3.56e-68,205.0
g7314,lcl|NC_133185.1_prot_NP_998565.1_39749,fam136a,73.9,138,36,0,1,138,1,138,4.5699999999999995e-68,203.0
g16483,lcl|NC_133176.1_prot_NP_957142.1_3646,ndufb7,73.9,119,31,0,1,119,1,119,3.38e-62,187.0
g21507,lcl|NC_133189.1_prot_NP_001036786.1_54284,mif,73.9,115,29,1,1,114,1,115,1.92e-58,177.0
g15370,lcl|NC_133197.1_prot_XP_009294376.1_78998,mettl21a,73.9,111,29,0,1,111,1,111,4.27e-52,166.0
g12564,lcl|NC_133178.1_prot_NP_001092241.1_9585,rprml,73.9,115,23,3,1,109,1,114,4.75e-46,145.0
g17122,lcl|NC_133186.1_prot_XP_001920862.6_42795,abca7,73.8,2267,555,13,1,2261,1,2233,0.0,3368.0
g14584,lcl|NC_133182.1_prot_XP_001919990.2_30801,dennd4c,73.8,1969,444,25,1,1924,1,1942,0.0,2665.0
g19584,lcl|NC_133191.1_prot_XP_073781625.1_61364,kif13a,73.8,1927,438,18,1,1915,1,1872,0.0,2617.0
g109916,lcl|NC_133182.1_prot_XP_073764723.1_29137,tjp1a,73.8,1640,311,31,1,1608,1,1553,0.0,2131.0
g1946,lcl|NC_133177.1_prot_XP_005163716.1_4419,npc1,73.8,1277,320,5,4,1270,4,1275,0.0,1881.0
g12763,lcl|NC_133178.1_prot_XP_073801066.1_11590,tbcd,73.8,1181,307,3,15,1193,10,1189,0.0,1751.0
g17055,lcl|NC_133183.1_prot_NP_001410786.1_32884,fcho1,73.8,1229,236,15,1,1222,3,1152,0.0,1670.0
g21919,lcl|NC_133189.1_prot_XP_073778549.1_52070,pigg,73.8,974,239,6,1,963,1,969,0.0,1431.0
g22942,lcl|NC_133198.1_prot_XP_005162266.1_82369,epha2b,73.8,994,233,6,7,993,6,979,0.0,1420.0
g10632,lcl|NC_133199.1_prot_XP_073797329.1_86689,kcnh2b,73.8,891,125,13,67,950,39,828,0.0,1204.0
g18703,lcl|NC_133179.1_prot_XP_021330887.2_13286,erc1b,73.8,1121,263,8,1,1114,1,1097,0.0,1020.0
g18250,lcl|NC_133200.1_prot_XP_002666818.3_87339,eps8l2,73.8,672,153,8,26,690,13,668,0.0,945.0
g2811,lcl|NC_133183.1_prot_XP_005166936.1_32645,mier3b,73.8,558,121,11,1,553,1,538,1.73e-277,767.0
g13260,lcl|NC_133178.1_prot_XP_073799733.1_8568,mcoln1b,73.8,539,132,4,11,547,13,544,2.5100000000000002e-259,723.0
g14205,lcl|NC_133187.1_prot_NP_571806.1_47361,gfra1b,73.8,443,115,1,1,443,8,449,8.83e-248,686.0
g2952,lcl|NC_133180.1_prot_NP_001418051.1_18949,si:ch211-225b11.1,73.8,439,114,1,94,531,1,439,1.7499999999999998e-240,670.0
g2337,lcl|NC_133177.1_prot_NP_998160.1_5438,riok1,73.8,485,111,5,7,480,5,484,1.69e-228,643.0
g10988,lcl|NC_133182.1_prot_NP_001082795.1_29151,ctdspl2b,73.8,478,98,12,1,473,5,460,1.14e-221,619.0
g5920,lcl|NC_133192.1_prot_NP_001004294.4_63275,selenon,73.8,405,96,3,1,400,1,400,2.26e-218,613.0
g7857,lcl|NC_133195.1_prot_XP_068071587.1_71241,syt14b,73.8,427,92,5,113,533,326,738,6.29e-206,592.0
g4636,lcl|NC_133194.1_prot_NP_001313412.1_68512,cacng8a,73.8,469,74,14,1,457,1,432,1.59e-203,571.0
g22616,lcl|NC_133198.1_prot_NP_001070842.1_82710,c1galt1la,73.8,362,90,2,1,357,4,365,3.52e-202,565.0
g22169,lcl|NC_133198.1_prot_NP_001002646.1_82486,ada,73.8,363,94,1,36,398,1,362,4.56e-199,555.0
g19211,lcl|NC_133191.1_prot_NP_001017910.1_61025,rpz4,73.8,378,97,2,1,377,15,391,2.59e-195,545.0
g4757,lcl|NC_133194.1_prot_XP_005173827.1_68775,ccn2b,73.8,320,72,1,68,387,44,351,3.13e-189,529.0
g729,lcl|NC_133186.1_prot_NP_001014317.1_43860,tmem183a,73.8,359,92,1,1,359,1,357,1.1e-188,527.0
g15929,lcl|NC_133181.1_prot_XP_073808805.1_24394,utp6,73.8,347,90,1,1,347,1,346,1.02e-176,506.0
g19916,lcl|NC_133191.1_prot_NP_997068.2_57600,irx1a,73.8,400,50,7,1,398,1,347,1.5799999999999999e-174,499.0
g2229,lcl|NC_133199.1_prot_XP_073796690.1_85852,vipr2,73.8,320,81,2,122,438,64,383,3.2e-162,464.0
g13265,lcl|NC_133178.1_prot_XP_073799966.1_8538,si:ch211-106h11.1,73.8,484,118,1,377,860,1,475,1.34e-151,455.0
g11856,lcl|NC_133179.1_prot_NP_957446.1_13506,tspan12,73.8,317,62,4,1,312,1,301,2.18e-160,451.0
g22764,lcl|NC_133183.1_prot_NP_956180.1_33046,ela2l,73.8,267,70,0,1,267,1,267,7.44e-153,428.0
g16247,lcl|NC_133176.1_prot_NP_571952.1_1112,casp3a,73.8,279,67,2,7,279,4,282,2.39e-144,408.0
g12384,lcl|NC_133178.1_prot_NP_001153400.1_10564,pih1d1,73.8,286,72,2,1,283,7,292,9.55e-141,399.0
g17333,lcl|NC_133197.1_prot_XP_073792881.1_79193,LOC100331214,73.8,263,66,2,11,273,12,271,3.43e-135,394.0
g20516,lcl|NC_133188.1_prot_NP_001002621.1_50253,gsto1,73.8,237,62,0,3,239,4,240,4.61e-131,371.0
g3341,lcl|NC_133180.1_prot_NP_001003730.2_18552,sdf2l1,73.8,214,55,1,4,216,5,218,1.17e-122,348.0
g19924,lcl|NC_133191.1_prot_NP_956253.1_57593,nrsn1,73.8,195,48,2,1,193,1,194,3.97e-96,279.0
g4756,lcl|NC_133191.1_prot_XP_697581.5_57938,stx12l,73.8,267,65,2,1,265,31,294,1.78e-89,269.0
g2979,lcl|NC_133180.1_prot_NP_001108165.1_22444,si:ch211-283h6.4,73.8,164,41,1,1,162,1,164,2.6e-79,234.0
g4586,lcl|NC_133194.1_prot_XP_009292191.2_67650,zbtb22a,73.8,130,34,0,23,152,15,144,5.57e-55,199.0
g11545,lcl|NC_133180.1_prot_NP_001096594.1_21816,foxr1,73.8,122,32,0,1,122,197,318,8.38e-63,196.0
g20128,lcl|NC_133194.1_prot_NP_001096107.1_67827,znrf2a,73.8,103,26,1,123,224,79,181,1.48e-57,182.0
g1290,lcl|NC_133199.1_prot_NP_001373420.1_85179,LOC556668,73.8,80,21,0,2,81,302,381,2.97e-38,141.0
g11917,lcl|NC_133179.1_prot_NP_997845.1_13660,hmga2,73.8,42,8,3,1,39,1,42,4.82e-05,41.2
g20741,lcl|NC_133176.1_prot_XP_005171028.1_2872,itsn1,73.7,1822,347,24,1,1760,1,1751,0.0,2224.0
g20408,lcl|NC_133188.1_prot_NP_956883.2_48555,abcc2,73.7,1566,393,9,8,1565,5,1559,0.0,2211.0
g10991,lcl|NC_133182.1_prot_XP_068078737.2_29099,tjp1a,73.7,1641,313,31,9,1617,85,1638,0.0,2125.0
g1057,lcl|NC_133181.1_prot_XP_684096.6_25954,cntn3b,73.7,1024,265,2,1,1021,1,1023,0.0,1564.0
g7629,lcl|NC_133195.1_prot_NP_001229925.1_72019,mthfd1l,73.7,937,234,4,43,969,44,978,0.0,1372.0
g17195,lcl|NC_133177.1_prot_XP_005163306.1_4592,acap2a,73.7,806,202,3,1,806,1,796,0.0,1133.0
g4863,lcl|NC_133194.1_prot_XP_002665492.2_67717,slc6a19a.2,73.7,608,156,2,16,621,12,617,0.0,937.0
g23033,lcl|NC_133183.1_prot_NP_001001400.1_35569,actr8,73.7,596,140,5,39,633,44,623,0.0,890.0
g12379,lcl|NC_133187.1_prot_XP_021335701.1_45956,kat7b,73.7,631,85,6,1,630,1,551,0.0,883.0
g19928,lcl|NC_133191.1_prot_NP_956921.1_57589,cdkal1,73.7,559,129,3,5,563,6,546,9.77e-308,844.0
g19962,lcl|NC_133191.1_prot_NP_997829.2_58776,tax1bp1b,73.7,828,200,7,1,828,14,823,2.24e-291,825.0
g21671,lcl|NC_133189.1_prot_XP_073777465.1_54326,tnip1,73.7,691,139,14,1,687,1,652,1.36e-272,764.0
g18320,lcl|NC_133200.1_prot_NP_001082891.1_89443,c2cd4a,73.7,457,110,5,1,447,1,457,4.38e-221,616.0
g11116,lcl|NC_133182.1_prot_NP_001036798.1_29618,nkd1,73.7,452,104,8,1,449,1,440,1.32e-216,604.0
g14268,lcl|NC_133187.1_prot_XP_001918976.1_45758,mazb,73.7,487,96,5,1,478,1,464,7.54e-208,584.0
g14199,lcl|NC_133187.1_prot_NP_001122161.1_47396,adrb1,73.7,399,94,3,1,397,1,390,2.32e-196,549.0
